날짜,종가
2019-01,690.4622727272728
2019-02,739.7070588235295
2019-03,742.4415
2019-04,755.68
2019-05,715.1309523809524
2019-06,714.4721052631579
2019-07,667.4765217391304
2019-08,595.0528571428572
2019-09,632.9563157894737
2019-10,644.972380952381
2019-11,656.8942857142857
2019-12,640.538
2020-01,671.117
2020-02,667.298
2020-03,549.4422727272727
2020-04,615.5965
2020-05,695.2973684210526
2020-06,743.5681818181819
2020-07,781.0165217391304
2020-08,835.2895000000001
2020-09,865.5276190476192
2020-10,832.6426315789473
2020-11,850.7833333333334
2020-12,928.0190476190477
2021-01,975.3135
2021-02,956.9844444444445
2021-03,935.325
2021-04,1001.7922727272727
2021-05,969.077894736842
2021-06,1000.9159090909092
2021-07,1043.2945454545454
2021-08,1029.9752380952382
2021-09,1035.891052631579
2021-10,980.638947368421
2021-11,1010.5709090909091
2021-12,1004.6477272727273
2022-01,954.858
2022-02,879.5283333333333
2022-03,909.6366666666667
2022-04,923.662380952381
2022-05,873.7028571428573
2022-06,806.9390000000001
